Training CBOW_CrossEntropyLoss_SGD-lr0.020...
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 48 | Loss 0.03183148351529649
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 49 | Loss 0.03181120367314647
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 50 | Loss 0.03179055717005357
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 51 | Loss 0.0317713569406798
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 52 | Loss 0.0317526106724734
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 53 | Loss 0.031733526843398946
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 54 | Loss 0.031715569187220474
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 55 | Loss 0.0316976813712216
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 56 | Loss 0.0316804192068316
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 57 | Loss 0.03166335492295045
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 58 | Loss 0.03164668640008701
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 59 | Loss 0.03163035252808413
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 60 | Loss 0.03161442023711393
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 61 | Loss 0.03159872947676482
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 62 | Loss 0.031583629447934795
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 63 | Loss 0.03156792704755576
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 64 | Loss 0.03155318494964616
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 65 | Loss 0.03153884734277672
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 66 | Loss 0.03152462322619912
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 67 | Loss 0.03151053878998071
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 68 | Loss 0.031497097465416075
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 69 | Loss 0.0314834204302453
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 70 | Loss 0.03147070369754397
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 71 | Loss 0.03145750681360792
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 72 | Loss 0.03144449326014331
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 73 | Loss 0.031431898747756266
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 74 | Loss 0.031419312965391674
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 75 | Loss 0.03140667480289239
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 76 | Loss 0.03139524720350609
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 77 | Loss 0.03138360717357352
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 78 | Loss 0.03137140260218922
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 79 | Loss 0.031359884792570944
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 80 | Loss 0.03134848338325199
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 81 | Loss 0.03133767852546708
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 82 | Loss 0.03132722868859512
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 83 | Loss 0.03131625505037619
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 84 | Loss 0.031305400722464065
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 85 | Loss 0.03129516622614585
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 86 | Loss 0.03128455633886232
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 87 | Loss 0.03127423454231961
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 88 | Loss 0.03126447437722115
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 89 | Loss 0.03125400126028932
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 90 | Loss 0.03124475907652286
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 91 | Loss 0.031234643890511456
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 92 | Loss 0.031225555937141602
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 93 | Loss 0.031216680414318018
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 94 | Loss 0.031206396447872594
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 95 | Loss 0.031197320134532674
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 96 | Loss 0.03118866868228529
Training | CBOW_CrossEntropyLoss_SGD-lr0.010 | Epoch 97 | Loss 0.03117927808813719
